Timestamp,Disease_Incidence,Disease_Prevalence,Vaccination_Rates,Health_Disparities_Region,Health_Disparities_Demographics,Environmental_Air_Quality,Environmental_Pollution,Location_Latitude,Location_Longitude
,28,951,2.17,South,High Income,Good,Low,33.718389,-84.425205
1996-05-24 00:16:23.523103,58,71,79.65,East,Low Income,Not Available,,33.773222,-84.325555
1996-05-25 00:16:23.523103,0,259,59.51,South,Middle Income,Not Available,,33.708101,-84.381448
1996-05-26 00:16:23.523103,N/A,783,28.39,West,Not Available,Moderate,Low,33.794179,-84.335495
1996-05-27 00:16:23.523103,63,959,,South,Middle Income,Moderate,Low,33.765135,-84.446483
1996-05-28 00:16:23.523103,53,636,19.8,West,High Income,Unhealthy,High,33.807263,-84.442543
1996-05-29 00:16:23.523103,96,468,15.52,East,Middle Income,Good,Medium,33.738038,-84.423097
1996-05-30 00:16:23.523103,N/A,865,3.54,South,,Not Available,High,33.769877,-84.373277
1996-05-31 00:16:23.523103,88,832,21.68,South,High Income,Unhealthy,Not Available,33.685701,-84.296302
1996-06-01 00:16:23.523103,24,546,99.6,North,Low Income,Good,Low,33.711252,
1996-06-02 00:16:23.523103,35,942,,West,Low Income,,Medium,33.744987,-84.412047
,18,806,15.21,,High Income,Unhealthy,Low,,-84.427327
1996-06-04 00:16:23.523103,22,266,14.63,West,High Income,Moderate,Not Available,33.666797,-84.383357
1996-06-05 00:16:23.523103,47,270,68.96,South,,Good,High,33.75963,-84.359129
1996-06-06 00:16:23.523103,41,,36.43,South,Middle Income,Good,High,33.657271,
1996-06-07 00:16:23.523103,44,878,50.89,,Middle Income,Unhealthy,Medium,33.800676,-84.410315
1996-06-08 00:16:23.523103,80,895,91.39,Not Available,Middle Income,Unhealthy,,33.794855,-84.428922
1996-06-09 00:16:23.523103,64,426,,,Middle Income,Unhealthy,Low,33.736242,-84.316233
1996-06-10 00:16:23.523103,48,141,57.47,,Middle Income,Good,Low,33.707184,-84.29241
1996-06-11 00:16:23.523103,5,462,31.54,,High Income,Unhealthy,Not Available,33.684259,
1996-06-12 00:16:23.523103,83,483,37.91,East,High Income,,High,33.737774,-84.40644
1996-06-13 00:16:23.523103,,173,4.85,North,High Income,Good,Medium,33.80678,
1996-06-14 00:16:23.523103,54,862,36.74,West,High Income,Unhealthy,High,33.688563,-84.337699
1996-06-15 00:16:23.523103,N/A,110,13.26,North,Low Income,Moderate,Low,33.807389,
1996-06-16 00:16:23.523103,,,N/A,Not Available,Low Income,Good,Medium,33.704359,
1996-06-17 00:16:23.523103,18,105,91.33,West,Low Income,Unhealthy,,33.734964,-84.340403
,17,875,25.75,East,,,High,33.662002,-84.410248
1996-06-19 00:16:23.523103,,,90.49,,High Income,Unhealthy,,33.816418,-84.397686
1996-06-20 00:16:23.523103,17,678,3.99,South,Middle Income,Unhealthy,Medium,33.783926,-84.305486
1996-06-21 00:16:23.523103,35,310,31.2,,Middle Income,Moderate,Not Available,33.686327,-84.41872
,9,N/A,32.19,East,High Income,Good,High,33.789615,-84.330183
1996-06-23 00:16:23.523103,95,295,,South,Low Income,Good,High,33.761049,-84.337285
1996-06-24 00:16:23.523103,39,,24.68,West,Not Available,Moderate,Low,33.804675,-84.379038
1996-06-25 00:16:23.523103,7,168,70.56,South,Low Income,Moderate,Medium,33.832204,-84.350579
1996-06-26 00:16:23.523103,62,851,,North,Middle Income,Good,Not Available,33.817665,-84.484949
1996-06-27 00:16:23.523103,83,46,,East,Low Income,Unhealthy,,33.730176,-84.394651
1996-06-28 00:16:23.523103,81,902,85.25,South,High Income,Moderate,Low,33.801028,-84.349075
1996-06-29 00:16:23.523103,15,56,34.1,North,Middle Income,Moderate,,33.798803,-84.347592
,23,27,81.22,South,High Income,Unhealthy,High,33.726101,-84.357997
1996-07-01 00:16:23.523103,45,828,73.72,East,Low Income,Unhealthy,Medium,33.76763,
1996-07-02 00:16:23.523103,89,364,N/A,East,Middle Income,Moderate,Medium,33.769737,-84.372892
,77,714,,South,High Income,Unhealthy,High,,-84.411511
1996-07-04 00:16:23.523103,30,458,56.07,West,Low Income,Unhealthy,,33.809444,
1996-07-05 00:16:23.523103,75,292,67.95,East,High Income,Good,High,33.745395,
1996-07-06 00:16:23.523103,N/A,,88.15,East,Low Income,,Low,33.715399,-84.452078
1996-07-07 00:16:23.523103,45,863,,West,Low Income,Good,,33.823373,-84.477176
1996-07-08 00:16:23.523103,13,487,49.45,North,High Income,Unhealthy,Low,33.845799,-84.368836
1996-07-09 00:16:23.523103,91,745,7.78,South,Not Available,Good,Medium,33.653513,-84.487151
1996-07-10 00:16:23.523103,76,29,49.8,North,Middle Income,,Medium,33.746645,-84.466275
1996-07-11 00:16:23.523103,20,862,18.62,South,Middle Income,Good,Medium,33.800958,-84.44398
1996-07-12 00:16:23.523103,75,519,21.23,North,High Income,Moderate,Medium,33.747883,
1996-07-13 00:16:23.523103,1,736,6.86,South,Low Income,Good,Medium,33.793721,
,,,43.85,South,Middle Income,Unhealthy,High,33.836023,-84.435651
1996-07-15 00:16:23.523103,64,359,23.61,South,High Income,Not Available,Low,33.84111,-84.453501
1996-07-16 00:16:23.523103,,61,36.58,South,Low Income,,Low,33.664034,-84.319253
1996-07-17 00:16:23.523103,35,721,96.92,West,Low Income,Good,Medium,33.672362,-84.442348
1996-07-18 00:16:23.523103,90,536,,North,High Income,Moderate,Not Available,33.742588,-84.310316
1996-07-19 00:16:23.523103,49,559,86.49,South,Low Income,Good,High,33.797507,-84.390182
1996-07-20 00:16:23.523103,57,695,22.85,South,Middle Income,Good,Medium,33.815538,-84.329437
1996-07-21 00:16:23.523103,78,847,4.7,,Low Income,Good,High,33.776022,-84.347948
1996-07-22 00:16:23.523103,46,726,33.1,East,Middle Income,Unhealthy,Low,,-84.290858
1996-07-23 00:16:23.523103,88,314,28.47,Not Available,Low Income,Good,High,33.681179,-84.477279
1996-07-24 00:16:23.523103,70,,N/A,West,High Income,Moderate,Medium,33.661219,-84.357814
1996-07-25 00:16:23.523103,88,153,14.36,South,High Income,Not Available,High,33.83,-84.297253
,52,235,39.04,Not Available,Middle Income,Good,Low,,-84.437824
1996-07-27 00:16:23.523103,,692,59.52,West,,Moderate,Low,33.816404,-84.356392
1996-07-28 00:16:23.523103,12,260,38.49,South,Low Income,Good,Medium,33.814113,-84.38338
,17,514,98.01,North,Middle Income,Good,,33.781015,-84.3731
1996-07-30 00:16:23.523103,79,,60.99,West,Middle Income,Moderate,High,33.758735,-84.353581
1996-07-31 00:16:23.523103,64,,86.94,West,Low Income,Moderate,Low,33.66457,-84.486378
1996-08-01 00:16:23.523103,,90,56.82,West,Not Available,Unhealthy,Low,33.679916,
1996-08-02 00:16:23.523103,59,N/A,,West,High Income,Unhealthy,Not Available,33.688423,-84.401977
1996-08-03 00:16:23.523103,64,206,15.38,East,Low Income,Good,,33.835781,-84.438734
1996-08-04 00:16:23.523103,58,825,74.75,North,Middle Income,Not Available,Medium,,-84.475233
1996-08-05 00:16:23.523103,29,215,35.16,East,Not Available,Not Available,Low,33.833588,-84.348545
1996-08-06 00:16:23.523103,98,N/A,10.49,South,High Income,Good,High,,-84.381015
1996-08-07 00:16:23.523103,,596,46.19,,High Income,Moderate,Medium,33.703208,-84.375755
,18,84,81.56,West,Middle Income,Moderate,High,33.734578,-84.367825
1996-08-09 00:16:23.523103,35,370,28.68,North,High Income,Good,Not Available,,
1996-08-10 00:16:23.523103,50,N/A,5.93,North,Middle Income,Moderate,High,33.845706,-84.403385
1996-08-11 00:16:23.523103,66,67,50.89,East,Middle Income,Good,Medium,33.703718,-84.414616
1996-08-12 00:16:23.523103,N/A,355,14.61,West,High Income,Moderate,,33.701133,
1996-08-13 00:16:23.523103,40,911,75.44,West,,Good,High,33.720442,-84.472422
1996-08-14 00:16:23.523103,21,347,3.12,East,Not Available,Moderate,Medium,33.811334,
1996-08-15 00:16:23.523103,12,582,38.99,West,Middle Income,Good,Low,33.762229,-84.465648
1996-08-16 00:16:23.523103,33,463,4.91,South,Low Income,,Low,33.823745,-84.335598
1996-08-17 00:16:23.523103,52,578,28.0,,Middle Income,Good,Low,33.749727,-84.378767
1996-08-18 00:16:23.523103,75,,55.87,North,High Income,Good,Low,33.771127,-84.35254
1996-08-19 00:16:23.523103,91,211,,South,High Income,Unhealthy,Low,33.747655,
1996-08-20 00:16:23.523103,N/A,198,,South,High Income,Not Available,Medium,33.787792,
1996-08-21 00:16:23.523103,53,54,21.54,South,Low Income,Unhealthy,High,,-84.30368
1996-08-22 00:16:23.523103,,811,60.12,,High Income,Unhealthy,High,,-84.348553
1996-08-23 00:16:23.523103,36,952,64.46,West,Middle Income,Good,Medium,33.816821,
1996-08-24 00:16:23.523103,N/A,969,61.16,South,Low Income,Unhealthy,Medium,33.704642,-84.413407
1996-08-25 00:16:23.523103,72,404,53.87,West,High Income,Good,Low,,-84.319423
1996-08-26 00:16:23.523103,N/A,229,77.34,West,Low Income,Good,Medium,33.826101,-84.4341
1996-08-27 00:16:23.523103,52,405,34.05,West,Low Income,Good,Medium,,-84.324156
,94,904,9.0,East,Middle Income,Unhealthy,Not Available,33.694127,-84.438247
1996-08-29 00:16:23.523103,76,135,22.19,,,Unhealthy,High,33.772062,-84.394779
,29,784,64.54,West,High Income,Unhealthy,Medium,33.7634,-84.411636
1996-08-31 00:16:23.523103,64,377,85.31,North,Middle Income,Good,Low,33.659228,-84.428543
1996-09-01 00:16:23.523103,32,568,77.41,South,Low Income,Moderate,Low,33.766585,-84.465534
1996-09-02 00:16:23.523103,26,46,31.65,,Low Income,Not Available,Medium,33.720099,-84.466657
1996-09-03 00:16:23.523103,,680,66.75,East,High Income,Good,Medium,33.741087,-84.310021
1996-09-04 00:16:23.523103,89,552,,South,Not Available,,Medium,33.758393,-84.481233
1996-09-05 00:16:23.523103,10,N/A,N/A,North,Middle Income,,Medium,33.705503,-84.325839
1996-09-06 00:16:23.523103,2,248,58.5,East,High Income,Moderate,Low,33.728192,-84.4801
1996-09-07 00:16:23.523103,,770,70.31,East,Low Income,Moderate,High,,-84.324984
1996-09-08 00:16:23.523103,5,206,99.15,West,Low Income,Moderate,Low,33.712394,
1996-09-09 00:16:23.523103,7,180,,North,Middle Income,Moderate,Low,33.778345,-84.394665
1996-09-10 00:16:23.523103,83,538,99.14,,Low Income,Moderate,Low,33.779427,-84.456472
,44,914,77.7,West,Middle Income,Good,Not Available,33.732853,-84.409802
1996-09-12 00:16:23.523103,57,649,N/A,East,High Income,Unhealthy,Low,,-84.290968
1996-09-13 00:16:23.523103,,29,15.58,,Middle Income,Unhealthy,Medium,33.72646,-84.448594
1996-09-14 00:16:23.523103,81,364,53.55,North,High Income,Moderate,High,,-84.307506
1996-09-15 00:16:23.523103,74,355,78.72,East,Low Income,Moderate,High,33.704185,-84.422815
1996-09-16 00:16:23.523103,,507,13.71,Not Available,High Income,,Low,33.827248,-84.315124
1996-09-17 00:16:23.523103,77,769,26.01,West,High Income,Good,High,33.71417,
1996-09-18 00:16:23.523103,23,521,N/A,South,Low Income,Good,Medium,33.825579,-84.354092
1996-09-19 00:16:23.523103,95,255,N/A,East,High Income,Unhealthy,Medium,33.651482,-84.350354
1996-09-20 00:16:23.523103,24,,89.0,West,Low Income,Moderate,High,33.661164,-84.319542
,99,62,76.7,North,Middle Income,Good,High,33.794585,-84.333372
1996-09-22 00:16:23.523103,3,995,15.83,East,,,Low,33.719898,-84.363069
,75,171,72.77,Not Available,High Income,Good,High,33.75929,-84.303874
1996-09-24 00:16:23.523103,62,185,20.23,North,Not Available,Moderate,Low,33.824053,
1996-09-25 00:16:23.523103,1,12,37.84,North,High Income,Unhealthy,Medium,33.786292,-84.420513
1996-09-26 00:16:23.523103,82,880,,East,Middle Income,Moderate,High,33.692428,-84.452923
1996-09-27 00:16:23.523103,20,335,21.2,North,High Income,Unhealthy,,,
1996-09-28 00:16:23.523103,41,657,53.73,South,Not Available,Moderate,Medium,33.665658,-84.402858
1996-09-29 00:16:23.523103,1,572,N/A,North,Middle Income,,High,33.80644,-84.301123
1996-09-30 00:16:23.523103,92,598,67.17,South,Low Income,Good,Medium,33.819911,-84.381759
,30,793,56.95,Not Available,High Income,Unhealthy,High,33.831269,
1996-10-02 00:16:23.523103,16,693,11.74,,Middle Income,Not Available,Medium,33.811572,-84.376871
1996-10-03 00:16:23.523103,50,284,22.66,West,Low Income,Good,Low,33.82544,-84.32143
1996-10-04 00:16:23.523103,85,N/A,36.4,North,High Income,Good,,33.719639,-84.481254
1996-10-05 00:16:23.523103,27,602,80.21,South,High Income,Unhealthy,Low,33.709555,
1996-10-06 00:16:23.523103,86,561,69.21,,Low Income,Unhealthy,,33.841045,-84.325697
1996-10-07 00:16:23.523103,4,309,45.91,East,Low Income,Good,Low,33.731926,-84.44604
,82,843,43.83,East,Not Available,Unhealthy,,33.722393,-84.331667
1996-10-09 00:16:23.523103,79,347,27.41,North,Low Income,Moderate,Not Available,33.654299,-84.454927
1996-10-10 00:16:23.523103,,557,N/A,South,Low Income,Good,Medium,33.663396,-84.434315
1996-10-11 00:16:23.523103,40,416,18.78,West,Low Income,Good,Medium,33.698595,-84.435902
,41,569,93.57,East,Low Income,,High,33.667843,-84.309723
1996-10-13 00:16:23.523103,,18,79.08,North,Middle Income,Moderate,Medium,33.779244,-84.416098
1996-10-14 00:16:23.523103,16,228,80.94,South,Low Income,Good,Not Available,33.65456,-84.459251
1996-10-15 00:16:23.523103,79,57,38.67,South,Middle Income,Moderate,Medium,33.707521,-84.385997
1996-10-16 00:16:23.523103,63,736,3.81,East,Low Income,Moderate,High,33.839258,-84.485984
,80,870,25.18,South,Low Income,Not Available,Low,33.676319,-84.297118
1996-10-18 00:16:23.523103,1,62,17.47,West,Middle Income,Moderate,Low,33.817132,-84.398884
1996-10-19 00:16:23.523103,52,N/A,,West,High Income,Not Available,Not Available,33.815699,-84.31865
1996-10-20 00:16:23.523103,45,,34.39,East,,Good,Low,33.832722,-84.34931
1996-10-21 00:16:23.523103,23,333,89.65,East,Middle Income,Unhealthy,Medium,,-84.415758
1996-10-22 00:16:23.523103,,220,77.54,West,Not Available,Moderate,High,33.775832,
1996-10-23 00:16:23.523103,53,514,7.29,South,Low Income,Unhealthy,Low,33.731236,-84.32738
1996-10-24 00:16:23.523103,15,605,21.76,,,,High,33.680482,-84.307463
1996-10-25 00:16:23.523103,97,404,43.91,East,Middle Income,Good,,33.678406,-84.322221
1996-10-26 00:16:23.523103,93,215,33.26,South,Low Income,Good,High,33.766474,-84.320119
1996-10-27 00:16:23.523103,98,,N/A,West,Not Available,Good,Medium,33.766006,-84.469067
